Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Corporate,Chrome 131.0.0.0,,,17-01-2025 17:04:31,17-01-2025 17:12:57,8m - 25.378s,PASSED
,,,,,,,
Test Cases/Corporate/RegressionTest_VerifyCorporatePage_ElementsArePresent,Chrome 131.0.0.0,,,17-01-2025 17:04:41,17-01-2025 17:05:08,26.309s,PASSED
Start listener action : BeforeTestCase,Chrome 131.0.0.0,,,17-01-2025 17:04:42,17-01-2025 17:04:42,0.002s,PASSED
"click(findTestObject(""link_Content"", [""href"":""/corporate"", ""text"":""Corporate""]))",Chrome 131.0.0.0,"Click Menu ""Corporate""",,17-01-2025 17:04:42,17-01-2025 17:04:44,1.857s,PASSED
"verifyElementPresent(findTestObject(""var_Content"", [""xpath"":""//body[1]/div[1]/main[1]/main[1]/div[1]/div[1]/div[1]/div[1]/img[1]""]), 10)",Chrome 131.0.0.0,Verify Banner Image is Present,,17-01-2025 17:04:44,17-01-2025 17:04:55,10.848s,PASSED
"scrollToElement(findTestObject(""var_Content"", [""xpath"":""//body[1]/div[1]/main[1]/main[1]/div[1]/div[1]/ol[1]""]), 10)",Chrome 131.0.0.0,"Scroll to ""Company Profile Video""",,17-01-2025 17:04:55,17-01-2025 17:04:56,1.091s,PASSED
"verifyElementPresent(findTestObject(""lbl_Content"", [""text"":""Company Profile Video""]), 10)",Chrome 131.0.0.0,"Verify ""Company Profile Video"" Text is Present",,17-01-2025 17:04:56,17-01-2025 17:04:57,1.162s,PASSED
"verifyElementPresent(findTestObject(""var_Content"", [""xpath"":""//body[1]/div[1]/main[1]/main[1]/section[1]/div[1]/div[1]/div[1]/div[1]/p[1]""]), 10)",Chrome 131.0.0.0,Verify Text Description is Present,,17-01-2025 17:04:57,17-01-2025 17:04:58,0.964s,PASSED
"click(findTestObject(""link_Content"", [""href"":""https://www.youtube.com/watch?v=_0-hV5gwpwU"", ""text"":""Let's watch""]))",Chrome 131.0.0.0,"Click ""Let's Watch"" button",,17-01-2025 17:04:58,17-01-2025 17:04:58,0.441s,PASSED
"verifyLinksAccessible([""https://www.youtube.com/watch?v=_0-hV5gwpwU""])",Chrome 131.0.0.0,Verify Youtube Link Accessibility,,17-01-2025 17:04:58,17-01-2025 17:05:07,8.279s,PASSED
closeWindowIndex(1),Chrome 131.0.0.0,Close Browser Windows,,17-01-2025 17:05:07,17-01-2025 17:05:07,0.170s,PASSED
switchToWindowIndex(0),Chrome 131.0.0.0,Switch Browser Windows,,17-01-2025 17:05:07,17-01-2025 17:05:07,0.136s,PASSED
"scrollToElement(findTestObject(""var_Content"", [""xpath"":""//body[1]/div[1]/main[1]/main[1]/section[1]""]), 10)",Chrome 131.0.0.0,"Scroll to ""Promo and Latest News""",,17-01-2025 17:05:07,17-01-2025 17:05:07,0.346s,PASSED
"verifyElementPresent(findTestObject(""lbl_Content"", [""text"":""PROMOS AND LATEST NEWS""]), 10)",Chrome 131.0.0.0,"Verify ""Promo and Latest News"" text is Present",,17-01-2025 17:05:07,17-01-2025 17:05:08,0.317s,PASSED
"verifyElementPresent(findTestObject(""var_Content"", [""xpath"":""//body[1]/div[1]/main[1]/main[1]/div[2]/div[3]/ul[1]/li[1]/div[1]""]), 10)",Chrome 131.0.0.0,Verify Content Promo and Latest News is Present,,17-01-2025 17:05:08,17-01-2025 17:05:08,0.275s,PASSED
Start listener action : AfterTestCase,Chrome 131.0.0.0,,,17-01-2025 17:05:08,17-01-2025 17:05:08,0.001s,PASSED
,,,,,,,
Test Cases/Corporate/RegressionTest_VerifyAboutUsPage_ElementsArePresent,Chrome 131.0.0.0,,,17-01-2025 17:05:08,17-01-2025 17:06:07,59.349s,PASSED
Start listener action : BeforeTestCase,Chrome 131.0.0.0,,,17-01-2025 17:05:08,17-01-2025 17:05:08,0.001s,PASSED
"click(findTestObject(""link_Content"", [""href"":""/corporate"", ""text"":""Corporate""]))",Chrome 131.0.0.0,"Click Menu ""Corporate""",,17-01-2025 17:05:08,17-01-2025 17:05:08,0.004s,NOT_RUN
"click(findTestObject(""link_Content"", [""href"":""/en/corporate/aboutus"", ""text"":""About Us""]))",Chrome 131.0.0.0,"Click Menu ""About Us""",,17-01-2025 17:05:08,17-01-2025 17:05:09,0.423s,PASSED
"verifyElementPresent(findTestObject(""var_Content"", [""xpath"":""//body[1]/div[1]/main[1]/main[1]/div[1]/div[1]/div[1]/div[1]/img[1]""]), 10)",Chrome 131.0.0.0,Verify Banner Image is Present,,17-01-2025 17:05:09,17-01-2025 17:05:18,8.892s,PASSED
"verifyElementPresent(findTestObject(""img_Content"", [""src"":""/_next/image?url=%2Fstatic%2Fimages%2Fimage%2Fbaf_plaza_fq.webp&w=828&q=75""]), 10)",Chrome 131.0.0.0,Verify Image BAF Plaza is Present,,17-01-2025 17:05:18,17-01-2025 17:05:18,0.326s,PASSED
"click(findTestObject(""link_Content"", [""href"":""#"", ""text"":""BAF AT A GLANCE""]))",Chrome 131.0.0.0,"Click Link ""BAF AT GLANCE"" ",,17-01-2025 17:05:18,17-01-2025 17:05:18,0.410s,PASSED
"scrollToElement(findTestObject(""var_Content"", [""xpath"":""//body[1]/div[1]/main[1]/main[1]/div[1]/div[1]/ol[1]""]), 10)",Chrome 131.0.0.0,Scroll Up to First Content,,17-01-2025 17:05:18,17-01-2025 17:05:19,0.945s,PASSED
