Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Contact Us,Chrome 131.0.0.0,,,17-01-2025 17:13:25,17-01-2025 17:17:01,3m - 36.208s,PASSED
,,,,,,,
Test Cases/Contact Us/RegressionTest_VerifyContactUsPage_ElementsArePresent,Chrome 131.0.0.0,,,17-01-2025 17:13:34,17-01-2025 17:14:03,28.852s,PASSED
Start listener action : BeforeTestCase,Chrome 131.0.0.0,,,17-01-2025 17:13:34,17-01-2025 17:13:34,0.001s,PASSED
"click(findTestObject(""link_Content"", [""href"":""/contactus"", ""text"":""Contact Us""]))",Chrome 131.0.0.0,"Click Menu ""Contact Us""",,17-01-2025 17:13:34,17-01-2025 17:13:36,1.566s,PASSED
"verifyElementPresent(findTestObject(""lbl_Content"", [""text"":""Please ask questions about Bussan Auto Finance. We are ready to help and answer questions from Customers, Partners, Media and other parties.""]), 10)",Chrome 131.0.0.0,"Verify Text ""Please ask..."" is Present",,17-01-2025 17:13:36,17-01-2025 17:13:46,10.606s,PASSED
"verifyElementPresent(findTestObject(""img_Content"", [""src"":""/static/images/image/contactUsImage.svg""]), 10)",Chrome 131.0.0.0,Verify Image Contact Us is Present,,17-01-2025 17:13:46,17-01-2025 17:13:49,2.939s,PASSED
"scrollToElement(findTestObject(""var_Content"", [""xpath"":""//body[1]/div[1]/main[1]/main[1]/div[2]/div[1]/div[1]/div[1]/div[1]/div[1]/div[2]/div[1]/form[1]/button[1]""]), 10)",Chrome 131.0.0.0,"Scroll to ""Complaint Flow"" Text",,17-01-2025 17:13:49,17-01-2025 17:13:50,0.336s,PASSED
"verifyElementPresent(findTestObject(""lbl_Content"", [""text"":""Complaint Flow""]), 10)",Chrome 131.0.0.0,"Verify Text ""Complaint Flow"" is Present",,17-01-2025 17:13:50,17-01-2025 17:13:50,0.309s,PASSED
"mouseOver(findTestObject(""var_Content"", [""xpath"":""//body[1]/div[1]/main[1]/main[1]/div[2]/div[1]/div[1]/div[1]/div[1]/div[2]/div[1]/div[1]""]))",Chrome 131.0.0.0,"Verify Shape ""Penerimaan Pengaduan"" is Present",,17-01-2025 17:13:50,17-01-2025 17:13:51,0.528s,PASSED
