Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Career,Chrome 131.0.0.0,,,17-01-2025 17:17:34,17-01-2025 17:18:55,1m - 21.904s,PASSED
,,,,,,,
Test Cases/RegressionTest_VerifyCareerPage_ElementsArePresent,Chrome 131.0.0.0,,,17-01-2025 17:17:46,17-01-2025 17:18:55,1m - 9.177s,PASSED
Start listener action : BeforeTestCase,Chrome 131.0.0.0,,,17-01-2025 17:17:46,17-01-2025 17:17:46,0.001s,PASSED
"click(findTestObject(""link_Content"", [""href"":""/career"", ""text"":""Career""]))",Chrome 131.0.0.0,"Click Menu ""Carrer""",,17-01-2025 17:17:47,17-01-2025 17:17:49,2.441s,PASSED
"verifyElementPresent(findTestObject(""lbl_Content"", [""text"":""GAPAILAH MIMPIMU""]), 10)",Chrome 131.0.0.0,"Verify Text ""GAPAILAH MIMPIMU"" is Present",,17-01-2025 17:17:49,17-01-2025 17:18:02,13.159s,PASSED
"verifyElementPresent(findTestObject(""lbl_Content"", [""text"":""Bersama BAF""]), 10)",Chrome 131.0.0.0,"Verify Text ""Bersama BAF"" is Present",,17-01-2025 17:18:02,17-01-2025 17:18:03,0.742s,PASSED
"scrollToElement(findTestObject(""var_Content"", [""xpath"":""//body[1]/div[1]/main[1]/main[1]/section[2]/div[1]/p[1]""]), 10)",Chrome 131.0.0.0,"Scroll to ""Kata #BAFers"" Text",,17-01-2025 17:18:03,17-01-2025 17:18:04,0.315s,PASSED
"verifyElementPresent(findTestObject(""lbl_Content"", [""text"":""Kata #BAFers""]), 10)",Chrome 131.0.0.0,"Verify Text ""Kata #BAFers"" is Present",,17-01-2025 17:18:04,17-01-2025 17:18:04,0.301s,PASSED
"verifyElementPresent(findTestObject(""var_Content"", [""xpath"":""//body[1]/div[1]/main[1]/main[1]/section[2]/div[2]/ul[1]/li[1]""]), 10)",Chrome 131.0.0.0,"Verify Card ""Rajiv Permadi"" is Present",,17-01-2025 17:18:04,17-01-2025 17:18:04,0.312s,PASSED
"verifyElementPresent(findTestObject(""var_Content"", [""xpath"":""//body[1]/div[1]/main[1]/main[1]/section[2]/div[2]/ul[1]/li[2]""]), 10)",Chrome 131.0.0.0,"Verify Card ""Calvin Jefen"" is Present",,17-01-2025 17:18:04,17-01-2025 17:18:04,0.288s,PASSED
"verifyElementPresent(findTestObject(""var_Content"", [""xpath"":""//body[1]/div[1]/main[1]/main[1]/section[2]/div[2]/ul[1]/li[3]""]), 10)",Chrome 131.0.0.0,"Verify Card ""Meiske Erdinarini"" is Present",,17-01-2025 17:18:04,17-01-2025 17:18:05,0.274s,PASSED
"scrollToElement(findTestObject(""var_Content"", [""xpath"":""//body[1]/div[1]/main[1]/main[1]/section[3]/div[1]/div[1]""]), 10)",Chrome 131.0.0.0,"Scroll to ""Keseharian dan Keseruan #BAFers"" Text",,17-01-2025 17:18:05,17-01-2025 17:18:05,0.324s,PASSED
"verifyElementPresent(findTestObject(""var_Content"", [""xpath"":""//body[1]/div[1]/main[1]/main[1]/section[3]/div[1]/div[2]/div[1]/div[1]/ul[1]/li[3]/div[1]/div[1]/img[1]""]), 10)",Chrome 131.0.0.0,"Verify Banner ""Hari Kartini di BAF"" is Present",,17-01-2025 17:18:05,17-01-2025 17:18:05,0.291s,PASSED
"verifyElementPresent(findTestObject(""lbl_Content"", [""text"":""Hari Kartini di BAF""]), 10)",Chrome 131.0.0.0,"Verify Text ""Hari Kartini di BAF"" is Present",,17-01-2025 17:18:05,17-01-2025 17:18:06,0.307s,PASSED
"click(findTestObject(""var_Content"", [""xpath"":""//body[1]/div[1]/main[1]/main[1]/section[3]/div[1]/div[2]/div[1]/div[1]/div[1]/button[2]""]))",Chrome 131.0.0.0,Click Button Next Banner,,17-01-2025 17:18:06,17-01-2025 17:18:06,0.403s,PASSED
"verifyElementPresent(findTestObject(""var_Content"", [""xpath"":""//body[1]/div[1]/main[1]/main[1]/section[3]/div[1]/div[2]/div[1]/div[1]/ul[1]/li[4]/div[1]/div[1]/img[1]""]), 10)",Chrome 131.0.0.0,"Verify Banner ""Ruang kerja berkonsep terbuka meningkatkan kolaborasi dan interaksi"" is Present",,17-01-2025 17:18:06,17-01-2025 17:18:06,0.276s,PASSED
"verifyElementPresent(findTestObject(""lbl_Content"", [""text"":""Ruang kerja berkonsep terbuka meningkatkan kolaborasi dan interaksi""]), 10)",Chrome 131.0.0.0,"Verify Text ""Ruang kerja berkonsep terbuka meningkatkan kolaborasi dan interaksi"" is Present",,17-01-2025 17:18:06,17-01-2025 17:18:07,0.292s,PASSED
"click(findTestObject(""var_Content"", [""xpath"":""//body[1]/div[1]/main[1]/main[1]/section[3]/div[1]/div[2]/div[1]/div[1]/div[1]/button[2]""]))",Chrome 131.0.0.0,Click Button Next Banner,,17-01-2025 17:18:07,17-01-2025 17:18:07,0.406s,PASSED
"verifyElementPresent(findTestObject(""var_Content"", [""xpath"":""//body[1]/div[1]/main[1]/main[1]/section[3]/div[1]/div[2]/div[1]/div[1]/ul[1]/li[5]/div[1]/div[1]/img[1]""]), 10)",Chrome 131.0.0.0,"Verify Banner ""Kegiatan HUT BAF ke 25 Tahun"" is Present",,17-01-2025 17:18:07,17-01-2025 17:18:07,0.298s,PASSED
"verifyElementPresent(findTestObject(""lbl_Content"", [""text"":""Kegiatan HUT BAF ke 25 Tahun""]), 10)",Chrome 131.0.0.0,"Verify Text ""Kegiatan HUT BAF ke 25 Tahun"" is Present",,17-01-2025 17:18:07,17-01-2025 17:18:08,0.296s,PASSED
"click(findTestObject(""var_Content"", [""xpath"":""//body[1]/div[1]/main[1]/main[1]/section[3]/div[1]/div[2]/div[1]/div[1]/div[1]/button[2]""]))",Chrome 131.0.0.0,Click Button Next Banner,,17-01-2025 17:18:08,17-01-2025 17:18:08,0.372s,PASSED
"verifyElementPresent(findTestObject(""var_Content"", [""xpath"":""//body[1]/div[1]/main[1]/main[1]/section[3]/div[1]/div[2]/div[1]/div[1]/ul[1]/li[6]/div[1]/div[1]/img[1]""]), 10)",Chrome 131.0.0.0,"Verify Banner ""Kompetisi UMKM"" is Present",,17-01-2025 17:18:08,17-01-2025 17:18:08,0.280s,PASSED
"verifyElementPresent(findTestObject(""lbl_Content"", [""text"":""Kompetisi UMKM""]), 10)",Chrome 131.0.0.0,"Verify Text ""Kompetisi UMKM"" is Present",,17-01-2025 17:18:08,17-01-2025 17:18:09,0.297s,PASSED
"click(findTestObject(""var_Content"", [""xpath"":""//body[1]/div[1]/main[1]/main[1]/section[3]/div[1]/div[2]/div[1]/div[1]/div[1]/button[2]""]))",Chrome 131.0.0.0,Click Button Next Banner,,17-01-2025 17:18:09,17-01-2025 17:18:09,0.346s,PASSED
"verifyElementPresent(findTestObject(""var_Content"", [""xpath"":""//body[1]/div[1]/main[1]/main[1]/section[3]/div[1]/div[2]/div[1]/div[1]/ul[1]/li[7]/div[1]/div[1]/img[1]""]), 10)",Chrome 131.0.0.0,"Verify Banner ""Pojok Kayuh"" is Present",,17-01-2025 17:18:09,17-01-2025 17:18:09,0.288s,PASSED
"verifyElementPresent(findTestObject(""lbl_Content"", [""text"":""Pojok Kayuh""]), 10)",Chrome 131.0.0.0,"Verify Text ""Pojok Kayuh"" is Present",,17-01-2025 17:18:09,17-01-2025 17:18:09,0.281s,PASSED
"click(findTestObject(""var_Content"", [""xpath"":""//body[1]/div[1]/main[1]/main[1]/section[3]/div[1]/div[2]/div[1]/div[1]/div[1]/button[2]""]))",Chrome 131.0.0.0,Click Button Next Banner,,17-01-2025 17:18:09,17-01-2025 17:18:10,0.391s,PASSED
"verifyElementPresent(findTestObject(""var_Content"", [""xpath"":""//body[1]/div[1]/main[1]/main[1]/section[3]/div[1]/div[2]/div[1]/div[1]/ul[1]/li[8]/div[1]/div[1]/img[1]""]), 10)",Chrome 131.0.0.0,"Verify Banner ""Senam BAF agar BAFers selalu fit"" is Present",,17-01-2025 17:18:10,17-01-2025 17:18:10,0.262s,PASSED
"verifyElementPresent(findTestObject(""lbl_Content"", [""text"":""Senam BAF agar BAFers selalu fit""]), 10)",Chrome 131.0.0.0,"Verify Text ""Senam BAF agar BAFers selalu fit"" is Present",,17-01-2025 17:18:10,17-01-2025 17:18:10,0.295s,PASSED
"scrollToElement(findTestObject(""var_Content"", [""xpath"":""//body[1]/div[1]/main[1]/main[1]/section[4]/div[1]/div[1]""]), 10)",Chrome 131.0.0.0,"Scroll to ""Keseharian dan Keseruan #BAFers"" Text",,17-01-2025 17:18:10,17-01-2025 17:18:11,0.288s,PASSED
"mouseOver(findTestObject(""var_Content"", [""xpath"":""//body[1]/div[1]/main[1]/main[1]/section[4]/div[1]/div[2]/div[1]""]), STOP_ON_FAILURE)",Chrome 131.0.0.0,"Verify Card ""Kantor Jaringan Kami Menyebar ke Seluruh Indonesia"" is Present",,17-01-2025 17:18:11,17-01-2025 17:18:11,0.534s,PASSED
"mouseOver(findTestObject(""var_Content"", [""xpath"":""//body[1]/div[1]/main[1]/main[1]/section[4]/div[1]/div[2]/div[2]""]), STOP_ON_FAILURE)",Chrome 131.0.0.0,"Verify Card ""Pengembangan Diri"" is Present",,17-01-2025 17:18:11,17-01-2025 17:18:12,0.448s,PASSED
"mouseOver(findTestObject(""var_Content"", [""xpath"":""//body[1]/div[1]/main[1]/main[1]/section[4]/div[1]/div[2]/div[3]""]), STOP_ON_FAILURE)",Chrome 131.0.0.0,"Verify Card ""Kesempatan Jenjang Karir"" is Present",,17-01-2025 17:18:12,17-01-2025 17:18:12,0.451s,PASSED
"mouseOver(findTestObject(""var_Content"", [""xpath"":""//body[1]/div[1]/main[1]/main[1]/section[4]/div[1]/div[2]/div[4]""]), STOP_ON_FAILURE)",Chrome 131.0.0.0,"Verify Card ""Cuti Ulang Tahun"" is Present",,17-01-2025 17:18:12,17-01-2025 17:18:13,0.466s,PASSED
"scrollToElement(findTestObject(""var_Content"", [""xpath"":""//body[1]/div[1]/main[1]/main[1]/section[5]/div[1]/div[1]""]), 10)",Chrome 131.0.0.0,"Scroll to ""Jadilah Bagian dari #BAFers"" Text",,17-01-2025 17:18:13,17-01-2025 17:18:13,0.316s,PASSED
"verifyElementPresent(findTestObject(""img_Content"", [""src"":""/_next/image?url=%2Fstatic%2Fimages%2Fimage%2Fcareer%2Fdev-program-pict-new.webp&w=3840&q=75""]), 10)",Chrome 131.0.0.0,"Verify Image ""Development Program"" is Present",,17-01-2025 17:18:13,17-01-2025 17:18:13,0.284s,PASSED
"verifyElementPresent(findTestObject(""img_Content"", [""src"":""/_next/image?url=%2Fstatic%2Fimages%2Fimage%2Fcareer%2Fentry-level-pict-new.webp&w=3840&q=75""]), 10)",Chrome 131.0.0.0,"Verify Image ""Entry Level"" is Present",,17-01-2025 17:18:13,17-01-2025 17:18:16,2.964s,PASSED
"verifyElementPresent(findTestObject(""img_Content"", [""src"":""/_next/image?url=%2Fstatic%2Fimages%2Fimage%2Fcareer%2Fexperienced-pict-new.webp&w=3840&q=75""]), 10)",Chrome 131.0.0.0,"Verify Image ""Experienced"" is Present",,17-01-2025 17:18:16,17-01-2025 17:18:16,0.293s,PASSED
"click(findTestObject(""var_Content"", [""xpath"":""//body[1]/div[1]/main[1]/main[1]/section[5]/div[1]/div[2]/div[1]/div[1]/button[1]""]))",Chrome 131.0.0.0,"Click ""Development Program"" Button",,17-01-2025 17:18:16,17-01-2025 17:18:17,0.373s,PASSED
"click(findTestObject(""var_Content"", [""xpath"":""//body[1]/div[1]/main[1]/main[1]/div[1]/section[1]/div[1]/div[2]/div[1]/div[1]/div[1]/div[1]""]))",Chrome 131.0.0.0,"Click ""Technology Associate Program"" Button",,17-01-2025 17:18:17,17-01-2025 17:18:17,0.605s,PASSED
"verifyElementPresent(findTestObject(""lbl_Content"", [""text"":""Technology Associate Program""]), 10)",Chrome 131.0.0.0,"Verify Text ""Technology Associate Program"" is Present",,17-01-2025 17:18:17,17-01-2025 17:18:18,0.272s,PASSED
"verifyElementPresent(findTestObject(""lbl_Content"", [""text"":""Technology Associate Program (TAP) merupakan program pengembangan yang dilakukan untuk mempersiapkan para lulusan muda yang memiliki latar belakang IT dan Digital. Para peserta diberikan kesempatan untuk mempelajari hal baru dalam lingkup sektor pembiayaan. Melalui pelatihan intensif, On Job Training dan mentoring selama 12 bulan. Diharapkan dapat menghasilkan pemimpin muda yang berkualitas dan berkontribusi untuk memajukan perusahaan, khususnya dalam bidang IT dan Digital.""]), 10)",Chrome 131.0.0.0,"Verify Description Text ""Technology Associate Program"" is Present",,17-01-2025 17:18:18,17-01-2025 17:18:18,0.295s,PASSED
"verifyElementPresent(findTestObject(""lbl_Content"", [""text"":""Periode : 12 Bulan""]), 10)",Chrome 131.0.0.0,"Verify Text ""Periode : 12 Bulan"" is Present",,17-01-2025 17:18:18,17-01-2025 17:18:18,0.269s,PASSED
